investor_id,total_amount,avg_amount,tx_count,sip_count,age_group,income,gender,state,city_tier,sip_ratio,investor_segment
INV000039,482497,60312.125,8,6,26-35,6.5,Male,Madhya Pradesh,B30,0.75,Balanced
INV000040,1480910,148091.0,10,5,26-35,14.7,Male,Karnataka,B30,0.5,Balanced
INV000041,1521738,253623.0,6,1,46-55,25.0,Male,Karnataka,B30,0.16666666666666666,Aggressive
INV000042,577025,115405.0,5,4,26-35,15.3,Female,Punjab,B30,0.8,Balanced
INV000043,494094,164698.0,3,1,26-35,23.7,Male,Madhya Pradesh,T30,0.3333333333333333,Aggressive
INV000044,703471,117245.16666666667,6,2,36-45,34.9,Male,Karnataka,B30,0.3333333333333333,Aggressive
INV000045,1295094,129509.4,10,6,36-45,26.2,Male,Uttar Pradesh,T30,0.6,Aggressive
INV000046,834098,119156.85714285714,7,4,26-35,24.5,Female,Gujarat,T30,0.5714285714285714,Aggressive
INV000047,917232,183446.4,5,2,36-45,23.6,Male,Haryana,B30,0.4,Aggressive
INV000048,208461,18951.0,11,9,36-45,15.0,Female,Rajasthan,T30,0.8181818181818182,Conservative
INV000049,37744,12581.333333333334,3,3,36-45,23.8,Male,Maharashtra,B30,1.0,Balanced
INV000050,279000,93000.0,3,2,36-45,13.4,Male,Maharashtra,T30,0.6666666666666666,Balanced
INV000051,1256292,209382.0,6,3,36-45,21.0,Male,Haryana,T30,0.5,Aggressive
INV000052,1164105,116410.5,10,6,26-35,19.1,Male,Tamil Nadu,B30,0.6,Balanced
INV000053,9834,4917.0,2,2,36-45,52.3,Male,Maharashtra,T30,1.0,Conservative
INV000054,488684,69812.0,7,5,46-55,37.5,Female,Telangana,T30,0.7142857142857143,Balanced
INV000055,1966742,163895.16666666666,12,5,26-35,13.5,Male,Karnataka,T30,0.4166666666666667,Balanced
INV000056,290649,36331.125,8,6,26-35,22.5,Female,Haryana,B30,0.75,Balanced
INV000057,826946,75176.90909090909,11,8,36-45,59.9,Male,Tamil Nadu,T30,0.7272727272727273,Balanced
INV000058,537154,76736.28571428571,7,5,26-35,19.9,Male,Maharashtra,T30,0.7142857142857143,Balanced
INV000059,1764,1764.0,1,1,18-25,5.2,Male,Maharashtra,B30,1.0,Conservative
INV000060,24574,12287.0,2,2,36-45,45.6,Male,Madhya Pradesh,T30,1.0,Balanced
INV000061,607545,121509.0,5,3,26-35,23.3,Female,Tamil Nadu,T30,0.6,Aggressive
INV000062,1245620,155702.5,8,5,46-55,22.9,Male,Haryana,B30,0.625,Balanced
INV000063,9210,3070.0,3,3,46-55,88.9,Male,Uttar Pradesh,B30,1.0,Conservative
INV000064,473247,473247.0,1,0,18-25,3.5,Female,Uttar Pradesh,B30,0.0,Aggressive
INV000065,431252,71875.33333333333,6,4,46-55,43.2,Female,Maharashtra,T30,0.6666666666666666,Balanced
INV000066,1210286,172898.0,7,2,56+,64.2,Male,Haryana,B30,0.2857142857142857,Aggressive
INV000067,538,538.0,1,1,36-45,19.7,Male,Delhi,T30,1.0,Conservative
INV000068,417438,417438.0,1,0,18-25,7.3,Female,West Bengal,T30,0.0,Aggressive
INV000069,691513,57626.083333333336,12,10,56+,35.9,Female,Gujarat,T30,0.8333333333333334,Balanced
INV000070,218564,54641.0,4,3,56+,20.1,Female,West Bengal,T30,0.75,Balanced
INV000071,883938,126276.85714285714,7,4,26-35,18.2,Female,Madhya Pradesh,B30,0.5714285714285714,Balanced
INV000072,1360992,136099.2,10,6,18-25,6.4,Female,Gujarat,T30,0.6,Aggressive
INV000073,389007,38900.7,10,9,18-25,5.5,Male,Punjab,B30,0.9,Balanced
INV000074,966394,87854.0,11,8,26-35,8.4,Female,Rajasthan,T30,0.7272727272727273,Balanced
INV000075,522440,74634.28571428571,7,6,36-45,27.2,Male,Madhya Pradesh,B30,0.8571428571428571,Balanced
INV000076,779077,86564.11111111111,9,6,56+,67.1,Female,Gujarat,T30,0.6666666666666666,Balanced
INV000077,687684,343842.0,2,0,36-45,23.0,Male,Rajasthan,T30,0.0,Aggressive
INV000078,797804,199451.0,4,1,26-35,20.2,Male,Haryana,B30,0.25,Aggressive
INV000079,582247,64694.11111111111,9,6,26-35,17.0,Male,Gujarat,T30,0.6666666666666666,Balanced
INV000080,424500,84900.0,5,4,26-35,12.4,Male,Telangana,T30,0.8,Balanced
INV000081,1246072,113279.27272727272,11,7,36-45,31.0,Male,Gujarat,T30,0.6363636363636364,Aggressive
INV000082,467544,51949.333333333336,9,7,26-35,19.6,Female,Rajasthan,B30,0.7777777777777778,Balanced
INV000083,93284,46642.0,2,1,56+,42.0,Female,Uttar Pradesh,B30,0.5,Balanced
INV000084,790760,112965.71428571429,7,4,26-35,11.2,Male,West Bengal,T30,0.5714285714285714,Balanced
INV000085,1103908,137988.5,8,5,26-35,14.6,Female,Gujarat,T30,0.625,Balanced
INV000086,924447,77037.25,12,10,18-25,4.1,Female,Karnataka,B30,0.8333333333333334,Balanced
INV000087,1535954,153595.4,10,6,36-45,56.2,Male,Rajasthan,T30,0.6,Aggressive
INV000088,456686,114171.5,4,2,26-35,20.4,Male,Delhi,T30,0.5,Aggressive
INV000089,1902611,172964.63636363635,11,4,26-35,11.2,Female,Maharashtra,T30,0.36363636363636365,Balanced
INV000090,1238312,176901.7142857143,7,3,26-35,23.7,Female,Rajasthan,B30,0.42857142857142855,Aggressive
INV000091,983083,81923.58333333333,12,8,26-35,14.6,Male,Haryana,T30,0.6666666666666666,Balanced
INV000092,532320,106464.0,5,3,18-25,3.7,Female,Haryana,T30,0.6,Balanced
INV000093,938401,93840.1,10,7,36-45,59.0,Female,Maharashtra,T30,0.7,Aggressive
INV000094,1072694,97517.63636363637,11,6,18-25,3.7,Male,West Bengal,T30,0.5454545454545454,Balanced
INV000095,1454422,161602.44444444444,9,6,18-25,6.5,Male,West Bengal,T30,0.6666666666666666,Aggressive
INV000096,17236,8618.0,2,2,26-35,13.9,Female,Gujarat,T30,1.0,Conservative
INV000097,956579,86961.72727272728,11,7,18-25,6.0,Male,Karnataka,B30,0.6363636363636364,Aggressive
INV000098,263030,37575.71428571428,7,5,36-45,33.8,Male,Telangana,T30,0.7142857142857143,Balanced
INV000099,609026,76128.25,8,5,36-45,43.5,Male,Haryana,T30,0.625,Aggressive
INV000100,1666238,208279.75,8,3,56+,57.2,Male,Rajasthan,B30,0.375,Balanced
INV000101,1074030,89502.5,12,8,26-35,20.8,Male,Madhya Pradesh,T30,0.6666666666666666,Aggressive
INV000102,833234,75748.54545454546,11,8,26-35,21.9,Male,Gujarat,T30,0.7272727272727273,Balanced
INV000103,812455,101556.875,8,6,26-35,18.2,Female,Punjab,T30,0.75,Balanced
INV000104,1570044,130837.0,12,5,26-35,8.1,Male,Madhya Pradesh,T30,0.4166666666666667,Balanced
INV000105,609014,60901.4,10,8,56+,41.4,Male,Punjab,T30,0.8,Balanced
INV000106,438624,109656.0,4,2,18-25,5.1,Female,Uttar Pradesh,B30,0.5,Aggressive
INV000107,689715,137943.0,5,3,26-35,14.7,Male,Maharashtra,T30,0.6,Balanced
INV000108,1510587,167843.0,9,3,36-45,26.2,Male,Uttar Pradesh,B30,0.3333333333333333,Aggressive
INV000109,370528,37052.8,10,9,26-35,15.0,Female,Karnataka,T30,0.9,Conservative
INV000110,16633,5544.333333333333,3,3,46-55,85.3,Female,Uttar Pradesh,B30,1.0,Conservative
INV000111,71275,35637.5,2,1,56+,42.5,Male,Karnataka,T30,0.5,Balanced
INV000112,374488,93622.0,4,3,26-35,20.5,Male,Tamil Nadu,T30,0.75,Balanced
INV000113,572762,63640.22222222222,9,8,26-35,7.3,Female,Punjab,T30,0.8888888888888888,Balanced
INV000114,933047,233261.75,4,1,36-45,59.6,Male,West Bengal,T30,0.25,Aggressive
INV000115,734219,122369.83333333333,6,4,36-45,16.6,Male,Tamil Nadu,B30,0.6666666666666666,Balanced
INV000116,476636,95327.2,5,3,18-25,3.2,Male,West Bengal,T30,0.6,Balanced
INV000117,1343830,167978.75,8,4,26-35,15.6,Female,Karnataka,T30,0.5,Balanced
INV000118,64549,10758.166666666666,6,5,26-35,20.2,Male,Telangana,T30,0.8333333333333334,Balanced
INV000119,34154,17077.0,2,2,26-35,16.8,Female,Rajasthan,T30,1.0,Conservative
INV000120,47430,11857.5,4,3,26-35,24.4,Male,Tamil Nadu,T30,0.75,Balanced
INV000121,723039,180759.75,4,2,18-25,7.8,Male,Telangana,T30,0.5,Aggressive
INV000122,46110,46110.0,1,1,36-45,50.0,Male,Madhya Pradesh,B30,1.0,Balanced
INV000123,429370,47707.77777777778,9,7,46-55,73.3,Male,Punjab,T30,0.7777777777777778,Conservative
INV000124,620700,103450.0,6,4,36-45,46.2,Female,Punjab,B30,0.6666666666666666,Aggressive
INV000125,766736,109533.71428571429,7,5,36-45,35.6,Male,Tamil Nadu,B30,0.7142857142857143,Balanced
INV000126,358987,119662.33333333333,3,1,26-35,19.4,Male,Maharashtra,T30,0.3333333333333333,Balanced
INV000127,624406,208135.33333333334,3,1,18-25,7.3,Male,Delhi,T30,0.3333333333333333,Aggressive
INV000128,833586,83358.6,10,6,36-45,50.9,Female,Rajasthan,T30,0.6,Aggressive
INV000129,1611261,146478.27272727274,11,5,26-35,21.4,Female,Punjab,B30,0.45454545454545453,Aggressive
INV000130,2281059,228105.9,10,2,56+,69.4,Female,Madhya Pradesh,T30,0.2,Aggressive
INV000131,1926246,160520.5,12,7,36-45,16.8,Female,Telangana,T30,0.5833333333333334,Balanced
INV000132,1102531,122503.44444444444,9,6,46-55,37.1,Female,Karnataka,T30,0.6666666666666666,Balanced
INV000133,470935,67276.42857142857,7,6,26-35,11.5,Female,Karnataka,T30,0.8571428571428571,Balanced
INV000134,14726,4908.666666666667,3,3,36-45,50.2,Female,Punjab,T30,1.0,Conservative
INV000135,65453,16363.25,4,3,18-25,5.7,Male,Punjab,B30,0.75,Balanced
INV000136,820,820.0,1,1,18-25,3.7,Male,Gujarat,T30,1.0,Conservative
INV000137,1432382,159153.55555555556,9,4,26-35,12.0,Female,Rajasthan,T30,0.4444444444444444,Balanced
INV000138,2106027,175502.25,12,6,26-35,24.7,Male,Telangana,T30,0.5,Aggressive
INV000139,6583,6583.0,1,1,18-25,7.6,Female,Punjab,T30,1.0,Conservative
INV000140,762552,190638.0,4,2,56+,74.0,Male,Punjab,B30,0.5,Balanced
INV000141,8219,8219.0,1,1,26-35,22.1,Male,Maharashtra,T30,1.0,Conservative
INV000142,145769,145769.0,1,0,26-35,13.2,Male,Uttar Pradesh,T30,0.0,Aggressive
INV000143,597772,85396.0,7,4,26-35,23.8,Male,Haryana,T30,0.5714285714285714,Aggressive
INV000144,614283,102380.5,6,3,26-35,19.1,Male,Delhi,T30,0.5,Balanced
INV000145,788760,87640.0,9,6,26-35,9.3,Male,Delhi,T30,0.6666666666666666,Balanced
INV000146,378075,47259.375,8,6,26-35,14.1,Male,Delhi,T30,0.75,Conservative
INV000147,577043,82434.71428571429,7,4,26-35,15.7,Male,Rajasthan,T30,0.5714285714285714,Balanced
INV000148,323740,32374.0,10,9,18-25,3.5,Female,Telangana,T30,0.9,Conservative
INV000149,445493,445493.0,1,0,26-35,17.9,Male,Delhi,T30,0.0,Aggressive
INV000150,675917,75101.88888888889,9,5,18-25,3.5,Male,Karnataka,B30,0.5555555555555556,Balanced
INV000151,999068,166511.33333333334,6,3,18-25,5.1,Male,Delhi,T30,0.5,Aggressive
INV000152,360590,180295.0,2,1,56+,58.1,Female,Haryana,B30,0.5,Balanced
INV000153,1274163,127416.3,10,4,26-35,14.1,Male,Karnataka,B30,0.4,Balanced
INV000154,1207941,134215.66666666666,9,5,36-45,51.3,Male,Haryana,B30,0.5555555555555556,Aggressive
INV000155,288188,36023.5,8,7,26-35,17.4,Female,Madhya Pradesh,B30,0.875,Conservative
INV000156,611092,87298.85714285714,7,4,46-55,29.1,Male,Telangana,T30,0.5714285714285714,Balanced
INV000157,132893,132893.0,1,0,18-25,4.8,Male,Madhya Pradesh,T30,0.0,Aggressive
INV000158,1335840,166980.0,8,5,36-45,26.1,Male,Madhya Pradesh,B30,0.625,Aggressive
INV000159,38250,12750.0,3,3,36-45,12.1,Male,West Bengal,T30,1.0,Conservative
INV000160,684118,136823.6,5,3,36-45,26.8,Female,Tamil Nadu,T30,0.6,Aggressive
INV000161,908572,100952.44444444444,9,7,18-25,6.8,Female,Rajasthan,T30,0.7777777777777778,Balanced
INV000162,18379,9189.5,2,2,26-35,25.0,Female,Haryana,T30,1.0,Conservative
INV000163,820316,82031.6,10,8,46-55,70.4,Male,Uttar Pradesh,B30,0.8,Balanced
INV000164,25253,4208.833333333333,6,6,18-25,6.0,Male,Rajasthan,B30,1.0,Conservative
INV000165,1305699,145077.66666666666,9,4,36-45,18.8,Female,Punjab,T30,0.4444444444444444,Balanced
INV000166,724893,103556.14285714286,7,4,26-35,24.4,Male,Telangana,T30,0.5714285714285714,Aggressive
INV000167,832173,92463.66666666667,9,5,56+,55.3,Male,Gujarat,T30,0.5555555555555556,Balanced
INV000168,253235,84411.66666666667,3,1,26-35,9.7,Male,Rajasthan,T30,0.3333333333333333,Balanced
INV000169,955776,79648.0,12,7,26-35,6.9,Male,Rajasthan,T30,0.5833333333333334,Balanced
INV000170,191963,63987.666666666664,3,2,36-45,12.4,Female,Haryana,T30,0.6666666666666666,Balanced
INV000171,498641,124660.25,4,2,18-25,6.2,Female,Delhi,T30,0.5,Aggressive
INV000172,264205,52841.0,5,4,36-45,53.2,Male,Delhi,T30,0.8,Balanced
INV000173,1193694,108517.63636363637,11,7,26-35,7.6,Male,Maharashtra,T30,0.6363636363636364,Balanced
INV000174,1006601,125825.125,8,5,36-45,58.1,Male,Karnataka,T30,0.625,Aggressive
INV000175,552311,46025.916666666664,12,7,26-35,17.3,Male,Karnataka,T30,0.5833333333333334,Balanced
INV000176,213899,42779.8,5,3,26-35,13.4,Male,Rajasthan,T30,0.6,Balanced
INV000177,1297837,117985.18181818182,11,8,26-35,17.6,Male,Rajasthan,T30,0.7272727272727273,Balanced
INV000178,8750,4375.0,2,2,56+,43.0,Female,West Bengal,T30,1.0,Conservative
INV000179,264872,44145.333333333336,6,5,26-35,10.0,Male,Rajasthan,B30,0.8333333333333334,Conservative
INV000180,518114,64764.25,8,6,46-55,24.7,Female,Tamil Nadu,B30,0.75,Balanced
INV000181,1237265,123726.5,10,3,36-45,36.2,Male,Uttar Pradesh,T30,0.3,Aggressive
INV000182,686041,68604.1,10,5,36-45,38.1,Male,Tamil Nadu,T30,0.5,Aggressive
INV000183,779515,64959.583333333336,12,9,26-35,9.8,Male,Tamil Nadu,B30,0.75,Balanced
INV000184,6111,6111.0,1,1,36-45,53.1,Male,Gujarat,T30,1.0,Conservative
INV000185,14773,7386.5,2,2,46-55,50.3,Male,Telangana,T30,1.0,Conservative
INV000186,717823,358911.5,2,0,18-25,3.1,Male,Maharashtra,T30,0.0,Aggressive
INV000187,185221,185221.0,1,0,56+,13.4,Male,Karnataka,T30,0.0,Balanced
INV000188,511402,255701.0,2,0,46-55,79.0,Male,Tamil Nadu,B30,0.0,Aggressive
INV000189,430516,71752.66666666667,6,3,36-45,47.3,Male,Uttar Pradesh,T30,0.5,Aggressive
INV000190,919360,114920.0,8,5,26-35,8.2,Female,Madhya Pradesh,T30,0.625,Balanced
INV000191,873257,79387.0,11,7,26-35,23.1,Male,Karnataka,T30,0.6363636363636364,Aggressive
INV000192,702787,87848.375,8,5,26-35,24.4,Male,Haryana,B30,0.625,Aggressive
INV000193,1152639,128071.0,9,4,26-35,11.6,Female,Delhi,T30,0.4444444444444444,Balanced
INV000194,1383163,115263.58333333333,12,7,36-45,21.6,Male,Maharashtra,T30,0.5833333333333334,Aggressive
INV000195,651434,65143.4,10,6,36-45,56.5,Female,Madhya Pradesh,B30,0.6,Aggressive
INV000196,450427,50047.444444444445,9,7,26-35,17.9,Male,Tamil Nadu,T30,0.7777777777777778,Balanced
INV000197,673748,168437.0,4,1,18-25,6.9,Male,Maharashtra,T30,0.25,Aggressive
INV000198,462,462.0,1,1,46-55,21.5,Male,Punjab,T30,1.0,Conservative
INV000199,737787,105398.14285714286,7,4,36-45,15.7,Female,Telangana,T30,0.5714285714285714,Balanced
INV000200,1174752,167821.7142857143,7,4,18-25,4.0,Male,Rajasthan,B30,0.5714285714285714,Balanced
INV000201,257189,25718.9,10,9,46-55,87.0,Male,Madhya Pradesh,T30,0.9,Conservative
INV000202,423540,141180.0,3,2,18-25,4.1,Male,Haryana,T30,0.6666666666666666,Balanced
INV000203,1119242,124360.22222222222,9,5,26-35,16.0,Male,Maharashtra,B30,0.5555555555555556,Balanced
INV000204,1192888,170412.57142857142,7,2,36-45,17.7,Male,Punjab,T30,0.2857142857142857,Aggressive
INV000205,763652,76365.2,10,8,18-25,4.4,Male,Haryana,B30,0.8,Balanced
INV000206,616094,205364.66666666666,3,1,26-35,9.8,Male,Punjab,B30,0.3333333333333333,Balanced
INV000207,66956,13391.2,5,5,26-35,18.0,Female,Madhya Pradesh,T30,1.0,Conservative
INV000208,2572,2572.0,1,1,36-45,28.3,Male,Gujarat,T30,1.0,Conservative
INV000209,58689,29344.5,2,1,18-25,5.7,Female,Haryana,B30,0.5,Balanced
INV000210,515430,57270.0,9,8,26-35,9.1,Male,Rajasthan,T30,0.8888888888888888,Balanced
INV000211,808138,89793.11111111111,9,5,26-35,17.0,Male,Punjab,T30,0.5555555555555556,Balanced
INV000212,365168,182584.0,2,1,36-45,54.3,Male,Rajasthan,B30,0.5,Aggressive
INV000213,447781,74630.16666666667,6,4,26-35,19.6,Male,Punjab,T30,0.6666666666666666,Balanced
INV000214,1345476,134547.6,10,6,26-35,20.7,Female,Madhya Pradesh,T30,0.6,Aggressive
INV000215,715932,79548.0,9,5,26-35,18.3,Female,Maharashtra,B30,0.5555555555555556,Balanced
INV000216,201946,33657.666666666664,6,4,26-35,21.9,Male,Karnataka,B30,0.6666666666666666,Balanced
INV000217,1591554,144686.72727272726,11,6,56+,50.1,Male,Tamil Nadu,T30,0.5454545454545454,Balanced
INV000218,8003,8003.0,1,1,36-45,18.8,Male,Karnataka,B30,1.0,Conservative
INV000219,606953,121390.6,5,3,26-35,22.3,Male,Gujarat,T30,0.6,Aggressive
INV000220,214477,35746.166666666664,6,5,36-45,48.1,Male,Uttar Pradesh,T30,0.8333333333333334,Balanced
INV000221,690183,86272.875,8,5,36-45,46.2,Female,Uttar Pradesh,B30,0.625,Aggressive
INV000222,591433,98572.16666666667,6,4,36-45,46.7,Male,Maharashtra,T30,0.6666666666666666,Aggressive
INV000223,1429882,129989.27272727272,11,5,26-35,6.3,Male,West Bengal,T30,0.45454545454545453,Balanced
INV000224,461098,65871.14285714286,7,4,26-35,23.6,Male,Telangana,T30,0.5714285714285714,Aggressive
INV000225,1295037,161879.625,8,4,56+,44.0,Male,Delhi,T30,0.5,Balanced
INV000226,770094,96261.75,8,4,36-45,39.3,Female,West Bengal,T30,0.5,Aggressive
INV000227,742149,148429.8,5,3,36-45,29.1,Male,Haryana,T30,0.6,Aggressive
INV000228,1139471,94955.91666666667,12,9,26-35,7.2,Male,Karnataka,T30,0.75,Balanced
INV000229,351011,50144.42857142857,7,5,26-35,11.0,Male,Punjab,B30,0.7142857142857143,Balanced
INV000230,871715,87171.5,10,5,18-25,3.3,Male,Haryana,B30,0.5,Balanced
INV000231,1384176,125834.18181818182,11,5,26-35,22.9,Female,Rajasthan,B30,0.45454545454545453,Aggressive
INV000232,281312,140656.0,2,1,26-35,15.7,Male,Uttar Pradesh,B30,0.5,Balanced
INV000233,332214,166107.0,2,1,46-55,16.3,Male,Madhya Pradesh,T30,0.5,Balanced
INV000234,1023999,146285.57142857142,7,5,26-35,23.8,Male,Tamil Nadu,B30,0.7142857142857143,Balanced
INV000235,1555926,155592.6,10,4,26-35,8.5,Male,Delhi,T30,0.4,Balanced
INV000236,112217,14027.125,8,8,36-45,26.2,Male,Karnataka,T30,1.0,Balanced
INV000237,383052,127684.0,3,1,36-45,43.0,Male,Delhi,T30,0.3333333333333333,Aggressive
INV000238,1046071,104607.1,10,6,36-45,26.3,Male,Telangana,T30,0.6,Aggressive
INV000239,933691,84881.0,11,8,36-45,13.2,Female,Punjab,B30,0.7272727272727273,Balanced
INV000240,122545,61272.5,2,1,26-35,6.8,Female,West Bengal,T30,0.5,Balanced
INV000241,1587726,158772.6,10,3,26-35,16.5,Female,Telangana,T30,0.3,Balanced
INV000242,1205258,120525.8,10,3,36-45,40.2,Male,Maharashtra,B30,0.3,Aggressive
INV000243,597733,74716.625,8,6,26-35,21.5,Male,Punjab,T30,0.75,Balanced
INV000244,1636852,181872.44444444444,9,4,26-35,24.9,Male,Telangana,T30,0.4444444444444444,Aggressive
INV000245,1278858,116259.81818181818,11,6,26-35,6.2,Male,Punjab,B30,0.5454545454545454,Balanced
INV000246,54530,13632.5,4,4,26-35,19.7,Male,Tamil Nadu,T30,1.0,Conservative
INV000247,164460,164460.0,1,0,18-25,7.1,Male,Haryana,T30,0.0,Aggressive
INV000248,485895,121473.75,4,1,36-45,28.6,Female,Madhya Pradesh,T30,0.25,Aggressive
INV000249,694554,86819.25,8,7,26-35,13.4,Male,Punjab,B30,0.875,Balanced
INV000250,107697,107697.0,1,0,46-55,41.6,Male,Maharashtra,T30,0.0,Aggressive
INV000251,1185941,197656.83333333334,6,2,26-35,19.4,Male,Haryana,B30,0.3333333333333333,Balanced
INV000252,1629324,162932.4,10,6,46-55,24.4,Female,Gujarat,T30,0.6,Balanced
INV000253,406328,203164.0,2,1,26-35,7.2,Female,Delhi,T30,0.5,Balanced
INV000254,51387,25693.5,2,2,18-25,3.7,Female,Haryana,T30,1.0,Conservative
INV000255,563828,70478.5,8,6,26-35,19.9,Female,Haryana,T30,0.75,Balanced
INV000256,1910266,159188.83333333334,12,6,36-45,14.0,Male,Delhi,T30,0.5,Balanced
INV000257,1025371,128171.375,8,5,36-45,27.9,Male,Gujarat,T30,0.625,Aggressive
INV000258,11103,11103.0,1,1,26-35,11.6,Male,Gujarat,T30,1.0,Conservative
INV000259,759815,84423.88888888889,9,6,36-45,17.2,Male,Tamil Nadu,B30,0.6666666666666666,Balanced
INV000260,922766,76897.16666666667,12,8,18-25,4.1,Male,Delhi,T30,0.6666666666666666,Balanced
INV000261,1663672,166367.2,10,4,18-25,3.5,Male,Gujarat,T30,0.4,Balanced
INV000262,886465,73872.08333333333,12,8,36-45,47.6,Male,Telangana,T30,0.6666666666666666,Aggressive
INV000263,361956,40217.333333333336,9,8,56+,21.8,Male,Madhya Pradesh,B30,0.8888888888888888,Conservative
INV000264,64609,21536.333333333332,3,1,36-45,30.6,Female,Telangana,T30,0.3333333333333333,Balanced
INV000265,482980,40248.333333333336,12,10,36-45,14.1,Male,Madhya Pradesh,B30,0.8333333333333334,Conservative
INV000266,822551,117507.28571428571,7,4,56+,67.6,Male,Madhya Pradesh,T30,0.5714285714285714,Balanced
INV000267,2202108,183509.0,12,5,26-35,17.7,Male,Telangana,T30,0.4166666666666667,Balanced
INV000268,1146388,104217.09090909091,11,7,18-25,4.7,Female,Haryana,T30,0.6363636363636364,Balanced
INV000269,326686,81671.5,4,2,46-55,47.3,Male,Punjab,B30,0.5,Balanced
INV000270,951377,158562.83333333334,6,2,18-25,7.6,Male,Maharashtra,T30,0.3333333333333333,Aggressive
INV000271,835693,139282.16666666666,6,2,26-35,6.4,Female,Tamil Nadu,B30,0.3333333333333333,Balanced
INV000272,70152,17538.0,4,4,46-55,24.8,Male,Karnataka,B30,1.0,Conservative
INV000273,11637,11637.0,1,1,46-55,93.4,Male,Delhi,T30,1.0,Conservative
INV000274,323960,53993.333333333336,6,5,26-35,23.7,Male,Uttar Pradesh,B30,0.8333333333333334,Balanced
INV000275,404646,101161.5,4,2,26-35,10.2,Male,Karnataka,B30,0.5,Balanced
